,company,company_url,screener url
2315,Bengal & Assam Company Ltd,/company/533095/consolidated/,https://www.screener.in/company/533095/consolidated/
2316,Sindhu Trade Links Ltd,/company/532029/consolidated/,https://www.screener.in/company/532029/consolidated/
2317,Sandur Manganese & Iron Ores Ltd,/company/504918/,https://www.screener.in/company/504918/
2318,WPIL Ltd,/company/505872/consolidated/,https://www.screener.in/company/505872/consolidated/
2319,Magellanic Cloud Ltd,/company/538891/consolidated/,https://www.screener.in/company/538891/consolidated/
2320,SG Finserve Ltd,/company/539199/,https://www.screener.in/company/539199/
2321,Shree Global Tradefin Ltd,/company/512463/consolidated/,https://www.screener.in/company/512463/consolidated/
2322,Paushak Ltd,/company/532742/,https://www.screener.in/company/532742/
2323,Waaree Renewables Technologies Ltd,/company/534618/consolidated/,https://www.screener.in/company/534618/consolidated/
2324,Yasho Industries Ltd,/company/541167/,https://www.screener.in/company/541167/
2325,Aditya Vision Ltd,/company/540205/,https://www.screener.in/company/540205/
2326,Jyoti Resins and Adhesives Ltd,/company/514448/,https://www.screener.in/company/514448/
2327,Shanti Educational Initiatives Ltd,/company/539921/,https://www.screener.in/company/539921/
2328,DDev Plastiks Industries Ltd,/company/543547/,https://www.screener.in/company/543547/
2329,Sanmit Infra Ltd,/company/532435/,https://www.screener.in/company/532435/
2330,Polo Queen Industrial and Fintech Ltd,/company/540717/,https://www.screener.in/company/540717/
2331,EKI Energy Services Ltd,/company/543284/,https://www.screener.in/company/543284/
2332,Moschip Technologies Ltd,/company/532407/consolidated/,https://www.screener.in/company/532407/consolidated/
2333,Balu Forge Industries Ltd,/company/531112/,https://www.screener.in/company/531112/
2334,Wardwizard Innovations & Mobility Ltd,/company/538970/,https://www.screener.in/company/538970/
2335,RACL Geartech Ltd,/company/520073/,https://www.screener.in/company/520073/
2336,Gensol Engineering Ltd,/company/542851/,https://www.screener.in/company/542851/
2337,Cressanda Solutions Ltd,/company/512379/consolidated/,https://www.screener.in/company/512379/consolidated/
2338,Mishtann Foods Ltd,/company/539594/,https://www.screener.in/company/539594/
2339,Knowledge Marine & Engineering Works Ltd,/company/543273/consolidated/,https://www.screener.in/company/543273/consolidated/
2340,Remedium Lifecare Ltd,/company/539561/,https://www.screener.in/company/539561/
2341,Rajnish Wellness Ltd,/company/541601/,https://www.screener.in/company/541601/
2342,Finkurve Financial Services Ltd,/company/508954/,https://www.screener.in/company/508954/
2343,Asian Star Company Ltd,/company/531847/consolidated/,https://www.screener.in/company/531847/consolidated/
2344,Avantel Ltd,/company/532406/,https://www.screener.in/company/532406/
2345,Ritesh Properties & Industries Ltd,/company/526407/consolidated/,https://www.screener.in/company/526407/consolidated/
2346,KMC Speciality Hospitals (India) Ltd,/company/524520/,https://www.screener.in/company/524520/
2347,Raghav Productivity Enhancers Ltd,/company/539837/,https://www.screener.in/company/539837/
2348,Praveg Ltd,/company/531637/,https://www.screener.in/company/531637/
2349,Jaybharat Textiles & Real Estate Ltd,/company/512233/,https://www.screener.in/company/512233/
2350,Shiva Cement Ltd,/company/532323/,https://www.screener.in/company/532323/
2351,Balmer Lawrie Investment Ltd,/company/532485/consolidated/,https://www.screener.in/company/532485/consolidated/
2352,Saint-Gobain Sekurit India Ltd,/company/515043/,https://www.screener.in/company/515043/
2353,Enkei Wheels India Ltd,/company/533477/,https://www.screener.in/company/533477/
2354,Rhetan TMT Ltd,/company/543590/,https://www.screener.in/company/543590/
2355,Beekay Steel Industries Ltd,/company/539018/,https://www.screener.in/company/539018/
2356,Integra Engineering India Ltd,/company/505358/,https://www.screener.in/company/505358/
2357,K&R Rail Engineering Ltd,/company/514360/,https://www.screener.in/company/514360/
2358,Shankar Lal Rampal Dye-Chem Ltd,/company/542232/,https://www.screener.in/company/542232/
2359,Gloster Ltd,/company/542351/consolidated/,https://www.screener.in/company/542351/consolidated/
2360,Capital India Finance Ltd,/company/530879/consolidated/,https://www.screener.in/company/530879/consolidated/
2361,Quint Digital Media Ltd,/company/539515/consolidated/,https://www.screener.in/company/539515/consolidated/
2362,Master Trust Ltd,/company/511768/consolidated/,https://www.screener.in/company/511768/consolidated/
2363,Black Rose Industries Ltd,/company/514183/consolidated/,https://www.screener.in/company/514183/consolidated/
2364,Shilchar Technologies Ltd,/company/531201/,https://www.screener.in/company/531201/
2365,Davangere Sugar Company Ltd,/company/543267/,https://www.screener.in/company/543267/
2366,Dr Agarwal's Eye Hospital Ltd,/company/526783/,https://www.screener.in/company/526783/
2367,Ravindra Energy Ltd,/company/504341/consolidated/,https://www.screener.in/company/504341/consolidated/
2368,BMW Industries Ltd,/company/542669/consolidated/,https://www.screener.in/company/542669/consolidated/
